ID,HouseNo,Street,City,State,Country_code,PostalCode,createdAt,createdBy,modifiedAt,modifiedBy
1,101,Main St,Springfield,IL,US,62701,2022-01-10,admin,2023-01-10,admin
2,202,Second Ave,Metropolis,NY,US,10001,2021-03-15,admin,2023-01-15,admin
3,303,Third Blvd,Gotham,NY,US,10002,2020-05-20,admin,2023-01-20,admin
4,404,Fourth St,Smallville,KS,US,66002,2019-07-25,admin,2023-01-25,admin
5,505,Fifth Ave,Star City,CA,US,90001,2023-02-05,admin,2023-02-05,admin
6,606,Sixth St,Central City,MO,US,64101,2022-08-15,admin,2023-02-10,admin
7,707,Seventh Rd,Coast City,CA,US,90210,2021-11-01,admin,2023-02-15,admin
8,808,Eighth Blvd,National City,CA,US,91950,2020-04-20,admin,2023-02-20,admin
9,909,Ninth St,Starling City,WA,US,98101,2018-09-12,admin,2023-02-25,admin
10,1000,Tenth Ave,Blüdhaven,DE,US,90211,2022-12-01,admin,2023-03-01,admin
